Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
1,HIPOTECA BANCOMER FIJA,$180000.00,85.0%,20 años,"$ 4,995.27",11.20 %,Tasa fija anual,13.9 %,"$ 1,600.12",Mensual
2,HIPOTECA BANCOMER FIJA,$2160000.00,85.0%,20 años,"$ 57,980.97",11.20 %,Tasa fija anual,13.4 %,"$ 19,201.44",Mensual
3,HIPOTECA BANCOMER FIJA,$4140000.00,85.0%,20 años,"$ 110,966.62",11.20 %,Tasa fija anual,13.4 %,"$ 36,802.76",Mensual
4,HIPOTECA BANCOMER FIJA,$6120000.00,85.0%,20 años,"$ 163,952.42",11.20 %,Tasa fija anual,13.4 %,"$ 54,404.08",Mensual
5,HIPOTECA BANCOMER FIJA,$8100000.00,1.8888888888888888%,20 años,"$ 4,995.27",11.20 %,Tasa fija anual,13.9 %,"$ 1,600.12",Mensual
6,HIPOTECA BANCOMER FIJA,$10080000.00,85.0%,20 años,"$ 269,923.72",11.20 %,Tasa fija anual,13.4 %,"$ 89,606.71",Mensual
7,HIPOTECA BANCOMER FIJA,$12060000.00,85.0%,20 años,"$ 322,909.52",11.20 %,Tasa fija anual,13.4 %,"$ 107,208.03",Mensual
8,HIPOTECA BANCOMER FIJA,$14040000.00,85.0%,20 años,"$ 375,895.17",11.20 %,Tasa fija anual,13.4 %,"$ 124,809.35",Mensual
9,HIPOTECA BANCOMER FIJA,$16020000.00,85.0%,20 años,"$ 428,880.87",11.20 %,Tasa fija anual,13.4 %,"$ 142,410.67",Mensual
10,HIPOTECA BANCOMER FIJA,$18000000.00,85.0%,20 años,"$ 481,866.77",11.20 %,Tasa fija anual,13.4 %,"$ 160,011.99",Mensual
11,HIPOTECA BANCOMER FIJA,$19980000.00,76.57657657657657%,20 años,"$ 481,866.77",11.20 %,Tasa fija anual,13.4 %,"$ 160,011.99",Mensual
12,HIPOTECA BANCOMER FIJA,$180000.00,85.0%,15 años,"$ 5,390.60",11.20 %,Tasa fija anual,14.1 %,"$ 1,758.25",Mensual
13,HIPOTECA BANCOMER FIJA,$2160000.00,85.0%,15 años,"$ 62,724.75",11.20 %,Tasa fija anual,13.5 %,"$ 21,098.94",Mensual
14,HIPOTECA BANCOMER FIJA,$4140000.00,85.0%,15 años,"$ 120,058.85",11.20 %,Tasa fija anual,13.5 %,"$ 40,439.64",Mensual
15,HIPOTECA BANCOMER FIJA,$6120000.00,85.0%,15 años,"$ 177,393.10",11.20 %,Tasa fija anual,13.5 %,"$ 59,780.34",Mensual
16,HIPOTECA BANCOMER FIJA,$8100000.00,1.8888888888888888%,15 años,"$ 5,390.60",11.20 %,Tasa fija anual,14.1 %,"$ 1,758.25",Mensual
17,HIPOTECA BANCOMER FIJA,$10080000.00,85.0%,15 años,"$ 292,061.30",11.20 %,Tasa fija anual,13.5 %,"$ 98,461.74",Mensual
18,HIPOTECA BANCOMER FIJA,$12060000.00,85.0%,15 años,"$ 349,395.55",11.20 %,Tasa fija anual,13.5 %,"$ 117,802.44",Mensual
19,HIPOTECA BANCOMER FIJA,$14040000.00,85.0%,15 años,"$ 406,729.65",11.20 %,Tasa fija anual,13.5 %,"$ 137,143.14",Mensual
20,HIPOTECA BANCOMER FIJA,$16020000.00,85.0%,15 años,"$ 464,063.80",11.20 %,Tasa fija anual,13.5 %,"$ 156,483.84",Mensual
21,HIPOTECA BANCOMER FIJA,$18000000.00,85.0%,15 años,"$ 521,398.15",11.20 %,Tasa fija anual,13.4 %,"$ 175,824.54",Mensual
22,HIPOTECA BANCOMER FIJA,$19980000.00,85.0%,15 años,"$ 578,732.17",11.20 %,Tasa fija anual,13.4 %,"$ 195,165.24",Mensual
