Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
1,Más por Menos - Adquirir una casa,$40000000,90%,15 años,"$9,030.72",11.30%,Variable,15.4%,"$4,515.36",Mensual
2,Más por Menos - Adquirir una casa,$50000000,90%,15 años,"$11,138.90",11.30%,Variable,15.2%,"$5,569.45",Mensual
3,Más por Menos - Adquirir una casa,$60000000,90%,15 años,"$13,247.10",11.30%,Variable,15%,"$6,623.55",Mensual
4,Más por Menos - Adquirir una casa,$70000000,90%,15 años,"$15,355.28",11.30%,Variable,14.8%,"$7,677.64",Mensual
5,Más por Menos - Adquirir una casa,$80000000,90%,15 años,"$17,463.44",11.30%,Variable,14.7%,"$8,731.72",Mensual
6,Más por Menos - Adquirir una casa,$90000000,90%,15 años,"$19,571.62",11.30%,Variable,14.7%,"$9,785.81",Mensual
7,Más por Menos - Adquirir una casa,$100000000,90%,15 años,"$21,679.82",11.30%,Variable,14.6%,"$10,839.91",Mensual
8,Más por Menos - Adquirir una casa,$110000000,90%,15 años,"$23,788.00",11.30%,Variable,14.5%,"$11,894.00",Mensual
9,Más por Menos - Adquirir una casa,$120000000,90%,15 años,"$25,896.20",11.30%,Variable,14.5%,"$12,948.10",Mensual
10,Más por Menos - Adquirir una casa,$130000000,90%,15 años,"$28,004.34",11.30%,Variable,14.5%,"$14,002.17",Mensual
11,Más por Menos - Adquirir una casa,$140000000,90%,15 años,"$30,112.54",11.30%,Variable,14.4%,"$15,056.27",Mensual
12,Más por Menos - Adquirir una casa,$150000000,90%,15 años,"$32,220.72",11.30%,Variable,14.4%,"$16,110.36",Mensual
13,Más por Menos - Adquirir una casa,$40000000,90%,20 años,"$8,267.16",11.30%,Variable,15.2%,"$4,133.58",Mensual
14,Más por Menos - Adquirir una casa,$50000000,90%,20 años,"$10,184.46",11.30%,Variable,14.9%,"$5,092.23",Mensual
15,Más por Menos - Adquirir una casa,$60000000,90%,20 años,"$12,101.76",11.30%,Variable,14.8%,"$6,050.88",Mensual
16,Más por Menos - Adquirir una casa,$70000000,90%,20 años,"$14,019.04",11.30%,Variable,14.6%,"$7,009.52",Mensual
17,Más por Menos - Adquirir una casa,$80000000,90%,20 años,"$15,936.32",11.30%,Variable,14.6%,"$7,968.16",Mensual
18,Más por Menos - Adquirir una casa,$90000000,90%,20 años,"$15,936.32",11.30%,Variable,14.6%,"$7,968.16",Mensual
19,Más por Menos - Adquirir una casa,$100000000,90%,20 años,"$19,770.92",11.30%,Variable,14.4%,"$9,885.46",Mensual
20,Más por Menos - Adquirir una casa,$110000000,90%,20 años,"$21,688.20",11.30%,Variable,14.4%,"$10,844.10",Mensual
21,Más por Menos - Adquirir una casa,$120000000,90%,20 años,"$23,605.52",11.30%,Variable,14.3%,"$11,802.76",Mensual
22,Más por Menos - Adquirir una casa,$130000000,90%,20 años,"$25,522.78",11.30%,Variable,14.3%,"$12,761.39",Mensual
23,Más por Menos - Adquirir una casa,$140000000,90%,20 años,"$25,522.78",11.30%,Variable,14.3%,"$12,761.39",Mensual
24,Más por Menos - Adquirir una casa,$150000000,90%,20 años,"$29,357.38",11.30%,Variable,14.3%,"$14,678.69",Mensual
25,Hipoteca Fuerte - Adquirir una casa,$40000000,90%,5 años,"$16,707.44",9.90%,Fija,15.4%,"$8,435.08",Mensual
26,Hipoteca Fuerte - Adquirir una casa,$50000000,90%,5 años,"$20,709.80",9.90%,Fija,15%,"$10,456.60",Mensual
27,Hipoteca Fuerte - Adquirir una casa,$60000000,90%,5 años,"$24,712.16",9.90%,Fija,14.7%,"$12,478.13",Mensual
28,Hipoteca Fuerte - Adquirir una casa,$70000000,90%,5 años,"$28,714.52",9.90%,Fija,14.5%,"$14,499.65",Mensual
29,Hipoteca Fuerte - Adquirir una casa,$80000000,90%,5 años,"$32,716.88",9.90%,Fija,14.3%,"$16,521.16",Mensual
30,Hipoteca Fuerte - Adquirir una casa,$90000000,90%,5 años,"$36,719.22",9.90%,Fija,14.2%,"$18,542.68",Mensual
31,Hipoteca Fuerte - Adquirir una casa,$100000000,90%,5 años,"$40,721.60",9.90%,Fija,14.1%,"$20,564.21",Mensual
32,Hipoteca Fuerte - Adquirir una casa,$110000000,90%,5 años,"$44,723.96",9.90%,Fija,14%,"$22,585.73",Mensual
33,Hipoteca Fuerte - Adquirir una casa,$120000000,90%,5 años,"$48,726.32",9.90%,Fija,13.9%,"$24,607.26",Mensual
34,Hipoteca Fuerte - Adquirir una casa,$130000000,90%,5 años,"$52,728.66",9.90%,Fija,13.8%,"$26,628.76",Mensual
