Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT,Incluye IVA,Pago,Avaluo,Comision,Gastos Notariales,Desembolso Inicial
14,"$500,000.00",90.0,5 años,"$24,879.81",11.00%,0,23.1359,0,"$10,567.30",2521.84,6750.00,25000.00,27521.84
14,"$500,000.00",90.0,10 años,"$16,509.83",11.00%,0,15.1685,0,"$6,928.18",2521.84,6750.00,25000.00,27521.84
14,"$500,000.00",90.0,20 años,"$13,606.04",12.00%,0,12.4043,0,"$5,665.66",2521.84,6750.00,25000.00,27521.84
14,"$500,000.00",90.0,20 años,"$12,661.73",12.00%,0,11.5054,0,"$5,255.10",2521.84,6750.00,25000.00,27521.84
14,"$600,000.00",90.0,5 años,"$29,625.77",11.00%,0,23.0446,0,"$12,630.77",2521.84,8100.00,30000.00,32521.84
14,"$600,000.00",90.0,10 años,"$19,581.80",11.00%,0,15.0772,0,"$8,263.82",2521.84,8100.00,30000.00,32521.84
14,"$600,000.00",90.0,20 años,"$16,097.24",12.00%,0,12.3131,0,"$6,748.80",2521.84,8100.00,30000.00,32521.84
14,"$600,000.00",90.0,20 años,"$14,964.07",12.00%,0,11.4142,0,"$6,256.12",2521.84,8100.00,30000.00,32521.84
14,"$700,000.00",90.0,5 años,"$34,371.72",11.00%,0,22.9795,0,"$14,694.23",2521.84,9450.00,35000.00,37521.84
14,"$700,000.00",90.0,10 años,"$22,653.75",11.00%,0,15.0121,0,"$9,599.46",2521.84,9450.00,35000.00,37521.84
14,"$700,000.00",90.0,20 años,"$18,588.43",12.00%,0,12.2479,0,"$7,831.93",2521.84,9450.00,35000.00,37521.84
14,"$700,000.00",90.0,20 años,"$17,266.42",12.00%,0,11.349,0,"$7,257.14",2521.84,9450.00,35000.00,37521.84
14,"$800,000.00",90.0,5 años,"$39,117.68",11.00%,0,22.9306,0,"$16,757.69",2521.84,10800.00,40000.00,42521.84
14,"$800,000.00",90.0,10 años,"$25,725.73",11.00%,0,14.9632,0,"$10,935.10",2521.84,10800.00,40000.00,42521.84
14,"$800,000.00",90.0,20 años,"$21,079.66",12.00%,0,12.1991,0,"$8,915.06",2521.84,10800.00,40000.00,42521.84
14,"$800,000.00",90.0,20 años,"$19,568.79",12.00%,0,11.3002,0,"$8,258.16",2521.84,10800.00,40000.00,42521.84
14,"$900,000.00",90.0,5 años,"$43,863.66",11.00%,0,22.8926,0,"$18,821.15",2818.8,12150.00,45000.00,47818.8
14,"$900,000.00",90.0,10 años,"$28,797.70",11.00%,0,14.9252,0,"$12,270.73",2818.8,12150.00,45000.00,47818.8
14,"$900,000.00",90.0,20 años,"$23,570.86",12.00%,0,12.161,0,"$9,998.20",2818.8,12150.00,45000.00,47818.8
14,"$900,000.00",90.0,20 años,"$21,871.13",12.00%,0,11.2622,0,"$9,259.18",2818.8,12150.00,45000.00,47818.8
14,"$1,000,000.00",90.0,5 años,"$48,609.62",11.00%,0,22.8622,0,"$20,884.61",3132.00,13500.00,50000.00,53132.00
14,"$1,000,000.00",90.0,10 años,"$31,869.67",11.00%,0,14.8948,0,"$13,606.37",3132.00,13500.00,50000.00,53132.00
14,"$1,000,000.00",90.0,20 años,"$26,062.08",12.00%,0,12.1306,0,"$11,081.33",3132.00,13500.00,50000.00,53132.00
14,"$1,000,000.00",90.0,20 años,"$24,173.48",12.00%,0,11.2318,0,"$10,260.20",3132.00,13500.00,50000.00,53132.00
14,"$1,100,000.00",90.0,5 años,"$53,355.58",11.00%,0,22.8373,0,"$22,948.07",3445.2,14850.00,55000.00,58445.2
14,"$1,100,000.00",90.0,10 años,"$34,941.62",11.00%,0,14.8699,0,"$14,942.01",3445.2,14850.00,55000.00,58445.2
14,"$1,100,000.00",90.0,20 años,"$28,553.28",12.00%,0,12.1058,0,"$12,164.46",3445.2,14850.00,55000.00,58445.2
14,"$1,100,000.00",90.0,20 años,"$26,475.82",12.00%,0,11.2069,0,"$11,261.22",3445.2,14850.00,55000.00,58445.2
14,"$1,200,000.00",90.0,5 años,"$58,101.54",11.00%,0,22.8166,0,"$25,011.54",3758.4,16200.00,60000.00,63758.4
14,"$1,200,000.00",90.0,10 años,"$38,013.59",11.00%,0,14.8492,0,"$16,277.65",3758.4,16200.00,60000.00,63758.4
14,"$1,200,000.00",90.0,20 años,"$31,044.48",12.00%,0,12.085,0,"$13,247.60",3758.4,16200.00,60000.00,63758.4
14,"$1,200,000.00",90.0,20 años,"$28,778.17",12.00%,0,11.1861,0,"$12,262.24",3758.4,16200.00,60000.00,63758.4
14,"$1,300,000.00",90.0,5 años,"$62,847.49",11.00%,0,22.799,0,"$27,075.00",4071.6,17550.00,65000.00,69071.6
14,"$1,300,000.00",90.0,10 años,"$41,085.56",11.00%,0,14.8316,0,"$17,613.29",4071.6,17550.00,65000.00,69071.6
14,"$1,300,000.00",90.0,20 años,"$33,535.70",12.00%,0,12.0675,0,"$14,330.73",4071.6,17550.00,65000.00,69071.6
14,"$1,300,000.00",90.0,20 años,"$31,080.52",12.00%,0,11.1686,0,"$13,263.26",4071.6,17550.00,65000.00,69071.6
14,"$1,400,000.00",90.0,5 años,"$67,593.45",11.00%,0,22.784,0,"$29,138.46",4384.8,18900.00,70000.00,74384.8
14,"$1,400,000.00",90.0,10 años,"$44,157.53",11.00%,0,14.8166,0,"$18,948.92",4384.8,18900.00,70000.00,74384.8
14,"$1,400,000.00",90.0,20 años,"$36,026.90",12.00%,0,12.0524,0,"$15,413.86",4384.8,18900.00,70000.00,74384.8
14,"$1,400,000.00",90.0,20 años,"$33,382.86",12.00%,0,11.1536,0,"$14,264.28",4384.8,18900.00,70000.00,74384.8
14,"$1,500,000.00",90.0,5 años,"$72,339.43",11.00%,0,22.771,0,"$31,201.92",4698.00,20250.00,75000.00,79698.00
14,"$1,500,000.00",90.0,10 años,"$47,229.51",11.00%,0,14.8036,0,"$20,284.56",4698.00,20250.00,75000.00,79698.00
14,"$1,500,000.00",90.0,20 años,"$38,518.1",12.00%,0,12.0394,0,"$16,497.00",4698.00,20250.00,75000.00,79698.00
14,"$1,500,000.00",90.0,20 años,"$35,685.21",12.00%,0,11.1405,0,"$15,265.31",4698.00,20250.00,75000.00,79698.00
14,"$1,600,000.00",90.0,5 años,"$77,085.39",11.00%,0,22.7596,0,"$33,265.38",5011.2,21600.00,80000.00,85011.2
14,"$1,600,000.00",90.0,10 años,"$50,301.46",11.00%,0,14.7921,0,"$21,620.20",5011.2,21600.00,80000.00,85011.2
14,"$1,600,000.00",90.0,20 años,"$41,009.32",12.00%,0,12.028,0,"$17,580.13",5011.2,21600.00,80000.00,85011.2
