Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
1,Mejora tu Hipoteca,"$500,000.00",90%,5 años,"$24,304.81",11%,Fija,22.5885,"$10,567.31",Mensual
1,Mejora tu Hipoteca,"$500,000.00",90%,10 años,"$15,934.83",11%,Fija,14.6211,"$6,928.19",Mensual
1,Mejora tu Hipoteca,"$500,000.00",90%,20 años,"$13,031.04",12%,Fija,11.857,"$5,665.67",Mensual
2,Mejora tu Hipoteca,"$600,000.00",90%,5 años,"$29,050.77",11%,Fija,22.5885,"$12,630.77",Mensual
2,Mejora tu Hipoteca,"$600,000.00",90%,10 años,"$19,006.80",11%,Fija,14.6211,"$8,263.83",Mensual
2,Mejora tu Hipoteca,"$600,000.00",90%,20 años,"$15,522.24",12%,Fija,11.857,"$6,748.80",Mensual
3,Mejora tu Hipoteca,"$700,000.00",90%,5 años,"$33,796.72",11%,Fija,22.5885,"$14,694.23",Mensual
3,Mejora tu Hipoteca,"$700,000.00",90%,10 años,"$22,078.75",11%,Fija,14.6211,"$9,599.46",Mensual
3,Mejora tu Hipoteca,"$700,000.00",90%,20 años,"$18,013.43",12%,Fija,11.857,"$7,831.93",Mensual
4,Mejora tu Hipoteca,"$800,000.00",90%,5 años,"$38,542.68",11%,Fija,22.5885,"$16,757.69",Mensual
4,Mejora tu Hipoteca,"$800,000.00",90%,10 años,"$25,150.73",11%,Fija,14.6211,"$10,935.10",Mensual
4,Mejora tu Hipoteca,"$800,000.00",90%,20 años,"$20,504.66",12%,Fija,11.857,"$8,915.07",Mensual
5,Mejora tu Hipoteca,"$900,000.00",90%,5 años,"$43,288.66",11%,Fija,22.5885,"$18,821.16",Mensual
5,Mejora tu Hipoteca,"$900,000.00",90%,10 años,"$28,222.70",11%,Fija,14.6211,"$12,270.74",Mensual
5,Mejora tu Hipoteca,"$900,000.00",90%,20 años,"$22,995.86",12%,Fija,11.857,"$9,998.20",Mensual
6,Mejora tu Hipoteca,"$1,000,000.00",90%,5 años,"$48,034.62",11%,Fija,22.5885,"$20,884.62",Mensual
6,Mejora tu Hipoteca,"$1,000,000.00",90%,10 años,"$31,294.67",11%,Fija,14.6211,"$13,606.38",Mensual
6,Mejora tu Hipoteca,"$1,000,000.00",90%,20 años,"$25,487.08",12%,Fija,11.857,"$11,081.34",Mensual
7,Mejora tu Hipoteca,"$1,100,000.00",90%,5 años,"$52,780.58",11%,Fija,22.5885,"$22,948.08",Mensual
7,Mejora tu Hipoteca,"$1,100,000.00",90%,10 años,"$34,366.62",11%,Fija,14.6211,"$14,942.01",Mensual
7,Mejora tu Hipoteca,"$1,100,000.00",90%,20 años,"$27,978.28",12%,Fija,11.857,"$12,164.47",Mensual
8,Mejora tu Hipoteca,"$1,200,000.00",90%,5 años,"$57,526.54",11%,Fija,22.5885,"$25,011.54",Mensual
8,Mejora tu Hipoteca,"$1,200,000.00",90%,10 años,"$37,438.59",11%,Fija,14.6211,"$16,277.65",Mensual
8,Mejora tu Hipoteca,"$1,200,000.00",90%,20 años,"$30,469.48",12%,Fija,11.857,"$13,247.60",Mensual
9,Mejora tu Hipoteca,"$1,300,000.00",90%,5 años,"$62,272.49",11%,Fija,22.5885,"$27,075.00",Mensual
9,Mejora tu Hipoteca,"$1,300,000.00",90%,10 años,"$40,510.56",11%,Fija,14.6211,"$17,613.29",Mensual
9,Mejora tu Hipoteca,"$1,300,000.00",90%,20 años,"$32,960.70",12%,Fija,11.857,"$14,330.74",Mensual
10,Mejora tu Hipoteca,"$1,400,000.00",90%,5 años,"$67,018.45",11%,Fija,22.5885,"$29,138.46",Mensual
10,Mejora tu Hipoteca,"$1,400,000.00",90%,10 años,"$43,582.53",11%,Fija,14.6211,"$18,948.93",Mensual
10,Mejora tu Hipoteca,"$1,400,000.00",90%,20 años,"$35,451.90",12%,Fija,11.857,"$15,413.87",Mensual
11,Mejora tu Hipoteca,"$1,500,000.00",90%,5 años,"$71,764.43",11%,Fija,22.5885,"$31,201.93",Mensual
11,Mejora tu Hipoteca,"$1,500,000.00",90%,10 años,"$46,654.51",11%,Fija,14.6211,"$20,284.57",Mensual
11,Mejora tu Hipoteca,"$1,500,000.00",90%,20 años,"$37,943.10",12%,Fija,11.857,"$16,497.00",Mensual
12,Mejora tu Hipoteca,"$1,600,000.00",90%,5 años,"$76,510.39",11%,Fija,22.5885,"$33,265.39",Mensual
12,Mejora tu Hipoteca,"$1,600,000.00",90%,10 años,"$49,726.46",11%,Fija,14.6211,"$21,620.20",Mensual
12,Mejora tu Hipoteca,"$1,600,000.00",90%,20 años,"$40,434.32",12%,Fija,11.857,"$17,580.14",Mensual
13,Mejora tu Hipoteca,"$1,700,000.00",90%,5 años,"$81,256.35",11%,Fija,22.5885,"$35,328.85",Mensual
13,Mejora tu Hipoteca,"$1,700,000.00",90%,10 años,"$52,798.43",11%,Fija,14.6211,"$22,955.84",Mensual
13,Mejora tu Hipoteca,"$1,700,000.00",90%,20 años,"$42,925.52",12%,Fija,11.857,"$18,663.27",Mensual
14,Mejora tu Hipoteca,"$1,800,000.00",90%,5 años,"$86,002.31",11%,Fija,22.5885,"$37,392.31",Mensual
14,Mejora tu Hipoteca,"$1,800,000.00",90%,10 años,"$55,870.40",11%,Fija,14.6211,"$24,291.48",Mensual
14,Mejora tu Hipoteca,"$1,800,000.00",90%,20 años,"$45,416.72",12%,Fija,11.857,"$19,746.40",Mensual
15,Mejora tu Hipoteca,"$1,900,000.00",90%,5 años,"$90,748.27",11%,Fija,22.5885,"$39,455.77",Mensual
15,Mejora tu Hipoteca,"$1,900,000.00",90%,10 años,"$58,942.37",11%,Fija,14.6211,"$25,627.12",Mensual
15,Mejora tu Hipoteca,"$1,900,000.00",90%,20 años,"$47,907.94",12%,Fija,11.857,"$20,829.54",Mensual
16,Mejora tu Hipoteca,"$2,000,000.00",90%,5 años,"$95,494.22",11%,Fija,22.5885,"$41,519.23",Mensual
16,Mejora tu Hipoteca,"$2,000,000.00",90%,10 años,"$62,014.32",11%,Fija,14.6211,"$26,962.75",Mensual
16,Mejora tu Hipoteca,"$2,000,000.00",90%,20 años,"$50,399.14",12%,Fija,11.857,"$21,912.67",Mensual
17,Mejora tu Hipoteca,"$2,500,000.00",90%,5 años,"$119,224.04",11%,Fija,22.5885,"$51,836.54",Mensual
17,Mejora tu Hipoteca,"$2,500,000.00",90%,10 años,"$77,374.16",11%,Fija,14.6211,"$33,640.94",Mensual
17,Mejora tu Hipoteca,"$2,500,000.00",90%,20 años,"$62,855.18",12%,Fija,11.857,"$27,328.34",Mensual
18,Mejora tu Hipoteca,"$3,000,000.00",90%,5 años,"$142,953.85",11%,Fija,22.5885,"$62,153.85",Mensual
18,Mejora tu Hipoteca,"$3,000,000.00",90%,10 años,"$92,733.99",11%,Fija,14.6211,"$40,319.13",Mensual
18,Mejora tu Hipoteca,"$3,000,000.00",90%,20 años,"$75,311.22",12%,Fija,11.857,"$32,744.01",Mensual
19,Mejora tu Hipoteca,"$3,500,000.00",90%,5 años,"$166,683.66",11%,Fija,22.5885,"$72,471.16",Mensual
19,Mejora tu Hipoteca,"$3,500,000.00",90%,10 años,"$108,093.83",11%,Fija,14.6211,"$46,997.32",Mensual
19,Mejora tu Hipoteca,"$3,500,000.00",90%,20 años,"$87,767.24",12%,Fija,11.857,"$38,159.67",Mensual
20,Mejora tu Hipoteca,"$4,000,000.00",90%,5 años,"$190,413.48",11%,Fija,22.5885,"$82,788.47",Mensual
20,Mejora tu Hipoteca,"$4,000,000.00",90%,10 años,"$123,453.67",11%,Fija,14.6211,"$53,675.51",Mensual
20,Mejora tu Hipoteca,"$4,000,000.00",90%,20 años,"$100,223.28",12%,Fija,11.857,"$43,575.34",Mensual
21,Mejora tu Hipoteca,"$4,500,000.00",90%,5 años,"$214,143.29",11%,Fija,22.5885,"$93,105.78",Mensual
21,Mejora tu Hipoteca,"$4,500,000.00",90%,10 años,"$138,813.50",11%,Fija,14.6211,"$60,353.70",Mensual
21,Mejora tu Hipoteca,"$4,500,000.00",90%,20 años,"$112,679.32",12%,Fija,11.857,"$48,991.01",Mensual
22,Mejora tu Hipoteca,"$5,000,000.00",90%,5 años,"$237,873.10",11%,Fija,22.5885,"$103,423.09",Mensual
22,Mejora tu Hipoteca,"$5,000,000.00",90%,10 años,"$154,173.34",11%,Fija,14.6211,"$67,031.89",Mensual
22,Mejora tu Hipoteca,"$5,000,000.00",90%,20 años,"$125,135.36",12%,Fija,11.857,"$54,406.68",Mensual
23,Mejora tu Hipoteca,"$5,500,000.00",90%,5 años,"$261,602.89",11%,Fija,22.5885,"$113,740.39",Mensual
23,Mejora tu Hipoteca,"$5,500,000.00",90%,10 años,"$169,533.16",11%,Fija,14.6211,"$73,710.07",Mensual
23,Mejora tu Hipoteca,"$5,500,000.00",90%,20 años,"$137,591.38",12%,Fija,11.857,"$59,822.34",Mensual
24,Mejora tu Hipoteca,"$6,000,000.00",90%,5 años,"$285,332.70",11%,Fija,22.5885,"$124,057.70",Mensual
24,Mejora tu Hipoteca,"$6,000,000.00",90%,10 años,"$184,892.99",11%,Fija,14.6211,"$80,388.26",Mensual
24,Mejora tu Hipoteca,"$6,000,000.00",90%,20 años,"$150,047.42",12%,Fija,11.857,"$65,238.01",Mensual
25,Mejora tu Hipoteca,"$6,500,000.00",90%,5 años,"$309,062.52",11%,Fija,22.5885,"$134,375.01",Mensual
25,Mejora tu Hipoteca,"$6,500,000.00",90%,10 años,"$200,252.83",11%,Fija,14.6211,"$87,066.45",Mensual
25,Mejora tu Hipoteca,"$6,500,000.00",90%,20 años,"$162,503.46",12%,Fija,11.857,"$70,653.68",Mensual
