Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
1,Terminación de Obra,"$500,000.00",50%,5 años,"$13,789.09",11%,Fija,22.6414,"$5,995.26",Mensual
1,Terminación de Obra,"$500,000.00",50%,10 años,"$9,139.09",11%,Fija,14.674,"$3,973.52",Mensual
1,Terminación de Obra,"$500,000.00",50%,20 años,"$7,223.37",11.25%,Fija,11.3915,"$3,140.60",Mensual
2,Terminación de Obra,"$600,000.00",50%,5 años,"$16,431.91",11%,Fija,22.6414,"$7,144.31",Mensual
2,Terminación de Obra,"$600,000.00",50%,10 años,"$10,851.92",11%,Fija,14.674,"$4,718.23",Mensual
2,Terminación de Obra,"$600,000.00",50%,20 años,"$8,553.05",11.25%,Fija,11.3915,"$3,718.72",Mensual
3,Terminación de Obra,"$700,000.00",50%,5 años,"$19,074.72",11%,Fija,22.6414,"$8,293.36",Mensual
3,Terminación de Obra,"$700,000.00",50%,10 años,"$12,564.73",11%,Fija,14.674,"$5,462.93",Mensual
3,Terminación de Obra,"$700,000.00",50%,20 años,"$9,882.75",11.25%,Fija,11.3916,"$4,296.85",Mensual
4,Terminación de Obra,"$800,000.00",50%,5 años,"$21,717.54",11%,Fija,22.6414,"$9,442.41",Mensual
4,Terminación de Obra,"$800,000.00",50%,10 años,"$14,277.57",11%,Fija,14.674,"$6,207.64",Mensual
4,Terminación de Obra,"$800,000.00",50%,20 años,"$11,212.43",11.25%,Fija,11.3916,"$4,874.97",Mensual
5,Terminación de Obra,"$900,000.00",50%,5 años,"$24,360.35",11%,Fija,22.6414,"$10,591.46",Mensual
5,Terminación de Obra,"$900,000.00",50%,10 años,"$15,990.38",11%,Fija,14.674,"$6,952.34",Mensual
5,Terminación de Obra,"$900,000.00",50%,20 años,"$12,542.10",11.25%,Fija,11.3915,"$5,453.09",Mensual
6,Terminación de Obra,"$1,000,000.00",50%,5 años,"$27,003.17",11%,Fija,22.6414,"$11,740.51",Mensual
6,Terminación de Obra,"$1,000,000.00",50%,10 años,"$17,703.21",11%,Fija,14.674,"$7,697.05",Mensual
6,Terminación de Obra,"$1,000,000.00",50%,20 años,"$13,871.78",11.25%,Fija,11.3915,"$6,031.21",Mensual
7,Terminación de Obra,"$1,100,000.00",50%,5 años,"$29,645.98",11%,Fija,22.6414,"$12,889.56",Mensual
7,Terminación de Obra,"$1,100,000.00",50%,10 años,"$19,416.02",11%,Fija,14.674,"$8,441.75",Mensual
7,Terminación de Obra,"$1,100,000.00",50%,20 años,"$15,201.45",11.25%,Fija,11.3915,"$6,609.33",Mensual
8,Terminación de Obra,"$1,200,000.00",50%,5 años,"$32,288.82",11%,Fija,22.6414,"$14,038.62",Mensual
8,Terminación de Obra,"$1,200,000.00",50%,10 años,"$21,128.85",11%,Fija,14.674,"$9,186.46",Mensual
8,Terminación de Obra,"$1,200,000.00",50%,20 años,"$16,531.13",11.25%,Fija,11.3915,"$7,187.45",Mensual
9,Terminación de Obra,"$1,300,000.00",50%,5 años,"$34,931.64",11%,Fija,22.6414,"$15,187.67",Mensual
9,Terminación de Obra,"$1,300,000.00",50%,10 años,"$22,841.66",11%,Fija,14.674,"$9,931.16",Mensual
9,Terminación de Obra,"$1,300,000.00",50%,20 años,"$17,860.81",11.25%,Fija,11.3915,"$7,765.57",Mensual
10,Terminación de Obra,"$1,400,000.00",50%,5 años,"$37,574.45",11%,Fija,22.6414,"$16,336.72",Mensual
10,Terminación de Obra,"$1,400,000.00",50%,10 años,"$24,554.50",11%,Fija,14.674,"$10,675.87",Mensual
10,Terminación de Obra,"$1,400,000.00",50%,20 años,"$19,190.48",11.25%,Fija,11.3915,"$8,343.68",Mensual
11,Terminación de Obra,"$1,500,000.00",50%,5 años,"$40,217.27",11%,Fija,22.6414,"$17,485.77",Mensual
11,Terminación de Obra,"$1,500,000.00",50%,10 años,"$26,267.31",11%,Fija,14.674,"$11,420.57",Mensual
11,Terminación de Obra,"$1,500,000.00",50%,20 años,"$20,520.16",11.25%,Fija,11.3915,"$8,921.81",Mensual
12,Terminación de Obra,"$1,600,000.00",50%,5 años,"$42,860.08",11%,Fija,22.6414,"$18,634.82",Mensual
12,Terminación de Obra,"$1,600,000.00",50%,10 años,"$27,980.12",11%,Fija,14.674,"$12,165.27",Mensual
12,Terminación de Obra,"$1,600,000.00",50%,20 años,"$21,849.83",11.25%,Fija,11.3915,"$9,499.93",Mensual
13,Terminación de Obra,"$1,700,000.00",50%,5 años,"$45,502.90",11%,Fija,22.6414,"$19,783.87",Mensual
13,Terminación de Obra,"$1,700,000.00",50%,10 años,"$29,692.95",11%,Fija,14.674,"$12,909.98",Mensual
13,Terminación de Obra,"$1,700,000.00",50%,20 años,"$23,179.51",11.25%,Fija,11.3915,"$10,078.05",Mensual
14,Terminación de Obra,"$1,800,000.00",50%,5 años,"$48,145.71",11%,Fija,22.6414,"$20,932.92",Mensual
14,Terminación de Obra,"$1,800,000.00",50%,10 años,"$31,405.76",11%,Fija,14.674,"$13,654.68",Mensual
14,Terminación de Obra,"$1,800,000.00",50%,20 años,"$24,509.19",11.25%,Fija,11.3915,"$10,656.17",Mensual
15,Terminación de Obra,"$1,900,000.00",50%,5 años,"$50,788.55",11%,Fija,22.6414,"$22,081.98",Mensual
15,Terminación de Obra,"$1,900,000.00",50%,10 años,"$33,118.59",11%,Fija,14.674,"$14,399.39",Mensual
