Valor Vivienda,Monto,Plazo,AFORO,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago Mensual
500000.00,400000,120,80.0,15954.00,9.90,Fija,12.1,5583.90
588235.00,500000,120,85.0,19943.00,9.90,Fija,12.0,6979.88
1176471.00,1000000,120,85.0,39885.00,9.90,Fija,12.0,13959.76
5176471.00,4400000,120,85.0,175494.00,9.90,Fija,11.9,61422.95
5882353.00,5000000,120,85.0,199425.00,9.90,Fija,11.9,69798.80
7846154.00,5100000,120,65.0,204422.00,9.90,Fija,12.1,71547.86
10000000.00,6500000,120,65.0,260538.00,9.90,Fija,12.1,91188.44
15384615.00,10000000,120,65.0,400828.00,9.90,Fija,12.0,140289.91
533333.00,400000,120,75.0,15977.00,9.90,Fija,12.1,5591.90
666667.00,500000,120,75.0,19971.00,9.90,Fija,12.1,6989.88
1333333.00,1000000,120,75.0,39942.00,9.90,Fija,12.1,13979.76
5866667.00,4400000,120,75.0,175746.00,9.90,Fija,12.0,61510.95
7692308.00,5000000,120,65.0,200414.00,9.90,Fija,12.1,70144.96
7846154.00,5100000,120,65.0,204422.00,9.90,Fija,12.1,71547.86
10000000.00,6500000,120,65.0,260538.00,9.90,Fija,12.1,91188.44
15384615.00,10000000,120,65.0,400828.00,9.90,Fija,12.0,140289.91
615385.00,400000,120,65.0,16033.00,9.90,Fija,12.2,5611.60
769231.00,500000,120,65.0,20041.00,9.90,Fija,12.2,7014.50
1538462.00,1000000,120,65.0,40083.00,9.90,Fija,12.2,14028.99
6769231.00,4400000,120,65.0,176364.00,9.90,Fija,12.1,61727.56
7692308.00,5000000,120,65.0,200414.00,9.90,Fija,12.1,70144.96
7846154.00,5100000,120,65.0,204422.00,9.90,Fija,12.1,71547.86
10000000.00,6500000,120,65.0,260538.00,9.90,Fija,12.1,91188.44
15384615.00,10000000,120,65.0,400828.00,9.90,Fija,12.0,140289.91
500000.00,400000,180,80.0,15000.00,9.90,Fija,11.9,4593.98
588235.00,500000,180,85.0,16407.00,9.90,Fija,11.9,5742.48
1176471.00,1000000,180,85.0,32814.00,9.90,Fija,11.8,11484.96
5176471.00,4400000,180,85.0,144382.00,9.90,Fija,11.8,50533.81
5882353.00,5000000,180,85.0,164071.00,9.90,Fija,11.8,57424.78
7846154.00,5100000,180,65.0,168361.00,9.90,Fija,11.9,58926.36
10000000.00,6500000,180,65.0,214578.00,9.90,Fija,11.9,75102.22
15384615.00,10000000,180,65.0,330120.00,9.90,Fija,11.9,115541.87
533333.00,400000,180,75.0,15000.00,9.90,Fija,12.0,4601.98
666667.00,500000,180,75.0,16436.00,9.90,Fija,11.9,5752.48
1333333.00,1000000,180,75.0,32871.00,9.90,Fija,11.9,11504.96
5866667.00,4400000,180,75.0,144634.00,9.90,Fija,11.8,50621.81
7692308.00,5000000,180,65.0,165060.00,9.90,Fija,11.9,57770.94
7846154.00,5100000,180,65.0,168361.00,9.90,Fija,11.9,58926.36
10000000.00,6500000,180,65.0,214578.00,9.90,Fija,11.9,75102.22
15384615.00,10000000,180,65.0,330120.00,9.90,Fija,11.9,115541.87
615385.00,400000,180,65.0,15000.00,9.90,Fija,12.0,4621.67
769231.00,500000,180,65.0,16506.00,9.90,Fija,12.0,5777.09
1538462.00,1000000,180,65.0,33012.00,9.90,Fija,12.0,11554.19
6769231.00,4400000,180,65.0,145253.00,9.90,Fija,11.9,50838.42
7692308.00,5000000,180,65.0,165060.00,9.90,Fija,11.9,57770.94
7846154.00,5100000,180,65.0,168361.00,9.90,Fija,11.9,58926.36
10000000.00,6500000,180,65.0,214578.00,9.90,Fija,11.9,75102.22
15384615.00,10000000,180,65.0,330120.00,9.90,Fija,11.9,115541.87
500000.00,400000,240,80.0,15000.00,9.90,Fija,11.8,4153.62
588235.00,500000,240,85.0,15000.00,9.90,Fija,11.8,5192.03
1176471.00,1000000,240,85.0,29669.00,9.90,Fija,11.7,10384.06
5176471.00,4400000,240,85.0,130542.00,9.90,Fija,11.7,45689.85
5882353.00,5000000,240,85.0,148344.00,9.90,Fija,11.7,51920.28
7846154.00,5100000,240,65.0,152319.00,9.90,Fija,11.8,53311.76
10000000.00,6500000,240,65.0,194132.00,9.90,Fija,11.8,67946.36
15384615.00,10000000,240,65.0,298665.00,9.90,Fija,11.8,104532.86
533333.00,400000,240,75.0,15000.00,9.90,Fija,11.9,4161.62
666667.00,500000,240,75.0,15000.00,9.90,Fija,11.8,5202.03
1333333.00,1000000,240,75.0,29726.00,9.90,Fija,11.8,10404.06
5866667.00,4400000,240,75.0,130794.00,9.90,Fija,11.8,45777.85
7692308.00,5000000,240,65.0,149333.00,9.90,Fija,11.8,52266.43
7846154.00,5100000,240,65.0,152319.00,9.90,Fija,11.8,53311.76
10000000.00,6500000,240,65.0,194132.00,9.90,Fija,11.8,67946.36
15384615.00,10000000,240,65.0,298665.00,9.90,Fija,11.8,104532.86
615385.00,400000,240,65.0,15000.00,9.90,Fija,11.9,4181.31
769231.00,500000,240,65.0,15000.00,9.90,Fija,11.9,5226.64
1538462.00,1000000,240,65.0,29867.00,9.90,Fija,11.9,10453.29
6769231.00,4400000,240,65.0,131413.00,9.90,Fija,11.8,45994.46
7692308.00,5000000,240,65.0,149333.00,9.90,Fija,11.8,52266.43
7846154.00,5100000,240,65.0,152319.00,9.90,Fija,11.8,53311.76
10000000.00,6500000,240,65.0,194132.00,9.90,Fija,11.8,67946.36
15384615.00,10000000,240,65.0,298665.00,9.90,Fija,11.8,104532.86
500000.00,400000,240,80.0,15000.00,9.90,Creciente,11.8,3724.00
588235.00,500000,240,85.0,15000.00,9.90,Creciente,11.7,4655.00
1176471.00,1000000,240,85.0,27585.00,9.90,Creciente,11.7,9310.00
5176471.00,4400000,240,85.0,121375.00,9.90,Creciente,11.7,40964.00
5882353.00,5000000,240,85.0,137926.00,9.90,Creciente,11.6,46550.00
7846154.00,5100000,240,65.0,141731.00,9.90,Creciente,11.8,47834.08
10000000.00,6500000,240,65.0,180637.00,9.90,Creciente,11.8,60965.00
15384615.00,10000000,240,65.0,277903.00,9.90,Creciente,11.8,93792.31
533333.00,400000,240,75.0,15000.00,9.90,Creciente,11.8,3732.00
666667.00,500000,240,75.0,15000.00,9.90,Creciente,11.8,4665.00
1333333.00,1000000,240,75.0,27644.00,9.90,Creciente,11.8,9330.00
