Valor Vivienda,Plazo,AFORO,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago Mensual
500000,120,85.0,16951.00,9.90,Fija,12.0,5932.90
5900000,120,85.0,200023.00,9.90,Fija,11.9,70008.20
6000000,120,65.0,156323.00,9.90,Fija,12.1,54713.07
11900000,120,65.0,310041.00,9.90,Fija,12.1,108514.25
12000000,120,50.0,242396.00,9.90,Fija,12.3,84838.56
15000000,120,50.0,302995.00,9.90,Fija,12.3,106048.20
500000,120,75.0,15000.00,9.90,Fija,12.1,5242.41
5900000,120,75.0,176744.00,9.90,Fija,12.0,61860.44
6000000,120,65.0,156323.00,9.90,Fija,12.1,54713.07
11900000,120,65.0,310041.00,9.90,Fija,12.1,108514.25
12000000,120,50.0,242396.00,9.90,Fija,12.3,84838.56
15000000,120,50.0,302995.00,9.90,Fija,12.3,106048.20
500000,120,65.0,15000.00,9.90,Fija,12.3,4559.42
5900000,120,65.0,153718.00,9.90,Fija,12.1,53801.18
6000000,120,65.0,156323.00,9.90,Fija,12.1,54713.07
11900000,120,65.0,310041.00,9.90,Fija,12.1,108514.25
12000000,120,50.0,242396.00,9.90,Fija,12.3,84838.56
15000000,120,50.0,302995.00,9.90,Fija,12.3,106048.20
500000,180,85.0,15000.00,9.90,Fija,11.9,4881.11
5900000,180,85.0,164563.00,9.90,Fija,11.8,57597.06
6000000,180,65.0,128747.00,9.90,Fija,11.9,45061.33
11900000,180,65.0,255348.00,9.90,Fija,11.9,89371.64
12000000,180,50.0,199971.00,9.90,Fija,12.1,69989.74
15000000,180,50.0,249963.00,9.90,Fija,12.1,87487.18
500000,180,75.0,15000.00,9.90,Fija,12.0,4314.36
5900000,180,75.0,145456.00,9.90,Fija,11.8,50909.43
6000000,180,65.0,128747.00,9.90,Fija,11.9,45061.33
11900000,180,65.0,255348.00,9.90,Fija,11.9,89371.64
12000000,180,50.0,199971.00,9.90,Fija,12.1,69989.74
15000000,180,50.0,249963.00,9.90,Fija,12.1,87487.18
500000,180,65.0,15000.00,9.90,Fija,12.1,3755.11
5900000,180,65.0,126601.00,9.90,Fija,11.9,44310.31
6000000,180,65.0,128747.00,9.90,Fija,11.9,45061.33
11900000,180,65.0,255348.00,9.90,Fija,11.9,89371.64
12000000,180,50.0,199971.00,9.90,Fija,12.1,69989.74
15000000,180,50.0,249963.00,9.90,Fija,12.1,87487.18
500000,240,85.0,15000.00,9.90,Fija,11.8,4413.22
5900000,240,85.0,148789.00,9.90,Fija,11.7,52076.04
6000000,240,65.0,116479.00,9.90,Fija,11.8,40767.82
11900000,240,65.0,231018.00,9.90,Fija,11.8,80856.17
12000000,240,50.0,181098.00,9.90,Fija,12.0,63384.33
15000000,240,50.0,226373.00,9.90,Fija,12.0,79230.42
500000,240,75.0,15000.00,9.90,Fija,11.9,3901.52
5900000,240,75.0,131537.00,9.90,Fija,11.8,46037.95
6000000,240,65.0,116479.00,9.90,Fija,11.8,40767.82
11900000,240,65.0,231018.00,9.90,Fija,11.8,80856.17
12000000,240,50.0,181098.00,9.90,Fija,12.0,63384.33
15000000,240,50.0,226373.00,9.90,Fija,12.0,79230.42
500000,240,65.0,15000.00,9.90,Fija,12.0,3397.32
5900000,240,65.0,114538.00,9.90,Fija,11.8,40088.35
6000000,240,65.0,116479.00,9.90,Fija,11.8,40767.82
11900000,240,65.0,231018.00,9.90,Fija,11.8,80856.17
12000000,240,50.0,181098.00,9.90,Fija,12.0,63384.33
15000000,240,50.0,226373.00,9.90,Fija,12.0,79230.42
500000,240,85.0,15000.00,9.90,Creciente,11.7,3956.75
5900000,240,85.0,138340.00,9.90,Creciente,11.6,46689.65
6000000,240,65.0,108382.00,9.90,Creciente,11.8,36579.00
11900000,240,65.0,214958.00,9.90,Creciente,11.8,72548.35
12000000,240,50.0,168711.00,9.90,Creciente,12.0,56940.00
15000000,240,50.0,210889.00,9.90,Creciente,12.0,71175.00
500000,240,75.0,15000.00,9.90,Creciente,11.8,3498.75
5900000,240,75.0,122327.00,9.90,Creciente,11.7,41285.25
6000000,240,65.0,108382.00,9.90,Creciente,11.8,36579.00
11900000,240,65.0,214958.00,9.90,Creciente,11.8,72548.35
12000000,240,50.0,168711.00,9.90,Creciente,12.0,56940.00
15000000,240,50.0,210889.00,9.90,Creciente,12.0,71175.00
500000,240,65.0,15000.00,9.90,Creciente,11.9,3048.25
5900000,240,65.0,106576.00,9.90,Creciente,11.8,35969.35
6000000,240,65.0,108382.00,9.90,Creciente,11.8,36579.00
11900000,240,65.0,214958.00,9.90,Creciente,11.8,72548.35
12000000,240,50.0,168711.00,9.90,Creciente,12.0,56940.00
15000000,240,50.0,210889.00,9.90,Creciente,12.0,71175.00
