Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuncia de Pago
1,HIPOTECA PERFILES,500000,85,120,16951,9.9,Fija,12,5932.9,Mensual
2,HIPOTECA PERFILES,5900000,85,120,200023,9.9,Fija,11.9,70008.2,Mensual
3,HIPOTECA PERFILES,6000000,65,120,156323,9.9,Fija,12.1,54713.07,Mensual
4,HIPOTECA PERFILES,11900000,65,120,310041,9.9,Fija,12.1,108514.25,Mensual
5,HIPOTECA PERFILES,12000000,50,120,242396,9.9,Fija,12.3,84838.56,Mensual
6,HIPOTECA PERFILES,15000000,50,120,302995,9.9,Fija,12.3,106048.2,Mensual
7,HIPOTECA PERFILES,500000,75,120,15000,9.9,Fija,12.1,5242.41,Mensual
8,HIPOTECA PERFILES,5900000,75,120,176744,9.9,Fija,12,61860.44,Mensual
9,HIPOTECA PERFILES,6000000,65,120,156323,9.9,Fija,12.1,54713.07,Mensual
10,HIPOTECA PERFILES,11900000,65,120,310041,9.9,Fija,12.1,108514.25,Mensual
11,HIPOTECA PERFILES,12000000,50,120,242396,9.9,Fija,12.3,84838.56,Mensual
12,HIPOTECA PERFILES,15000000,50,120,302995,9.9,Fija,12.3,106048.2,Mensual
13,HIPOTECA PERFILES,500000,65,120,15000,9.9,Fija,12.3,4559.42,Mensual
14,HIPOTECA PERFILES,5900000,65,120,153718,9.9,Fija,12.1,53801.18,Mensual
15,HIPOTECA PERFILES,6000000,65,120,156323,9.9,Fija,12.1,54713.07,Mensual
16,HIPOTECA PERFILES,11900000,65,120,310041,9.9,Fija,12.1,108514.25,Mensual
17,HIPOTECA PERFILES,12000000,50,120,242396,9.9,Fija,12.3,84838.56,Mensual
18,HIPOTECA PERFILES,15000000,50,120,302995,9.9,Fija,12.3,106048.2,Mensual
19,HIPOTECA PERFILES,500000,85,180,15000,9.9,Fija,11.9,4881.11,Mensual
20,HIPOTECA PERFILES,5900000,85,180,164563,9.9,Fija,11.8,57597.06,Mensual
21,HIPOTECA PERFILES,6000000,65,180,128747,9.9,Fija,11.9,45061.33,Mensual
22,HIPOTECA PERFILES,11900000,65,180,255348,9.9,Fija,11.9,89371.64,Mensual
23,HIPOTECA PERFILES,12000000,50,180,199971,9.9,Fija,12.1,69989.74,Mensual
24,HIPOTECA PERFILES,15000000,50,180,249963,9.9,Fija,12.1,87487.18,Mensual
25,HIPOTECA PERFILES,500000,75,180,15000,9.9,Fija,12,4314.36,Mensual
26,HIPOTECA PERFILES,5900000,75,180,145456,9.9,Fija,11.8,50909.43,Mensual
27,HIPOTECA PERFILES,6000000,65,180,128747,9.9,Fija,11.9,45061.33,Mensual
28,HIPOTECA PERFILES,11900000,65,180,255348,9.9,Fija,11.9,89371.64,Mensual
29,HIPOTECA PERFILES,12000000,50,180,199971,9.9,Fija,12.1,69989.74,Mensual
30,HIPOTECA PERFILES,15000000,50,180,249963,9.9,Fija,12.1,87487.18,Mensual
31,HIPOTECA PERFILES,500000,65,180,15000,9.9,Fija,12.1,3755.11,Mensual
32,HIPOTECA PERFILES,5900000,65,180,126601,9.9,Fija,11.9,44310.31,Mensual
33,HIPOTECA PERFILES,6000000,65,180,128747,9.9,Fija,11.9,45061.33,Mensual
34,HIPOTECA PERFILES,11900000,65,180,255348,9.9,Fija,11.9,89371.64,Mensual
