Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
1,Compra tu Casa,400000,95.0,84,"$ 13,224.00",11.20%,Pagos Oportunos,13.6%,"$ 6,612.00",Mensual
2,Compra tu Casa,500000,95.0,84,"$ 16,530.00",11.20%,Pagos Oportunos,13.6%,"$ 8,265.00",Mensual
3,Compra tu Casa,600000,95.0,84,"$ 19,836.00",11.20%,Pagos Oportunos,13.6%,"$ 9,918.00",Mensual
4,Compra tu Casa,700000,95.0,84,"$ 23,142.00",11.20%,Pagos Oportunos,13.6%,"$ 11,571.00",Mensual
5,Compra tu Casa,800000,95.0,84,"$ 26,448.00",11.20%,Pagos Oportunos,13.6%,"$ 13,224.00",Mensual
6,Compra tu Casa,900000,95.0,84,"$ 29,754.00",11.20%,Pagos Oportunos,13.6%,"$ 14,877.00",Mensual
7,Compra tu Casa,1000000,95.0,84,"$ 33,060.00",11.20%,Pagos Oportunos,13.6%,"$ 16,530.00",Mensual
8,Compra tu Casa,1100000,95.0,84,"$ 36,366.00",11.20%,Pagos Oportunos,13.6%,"$ 18,183.00",Mensual
9,Compra tu Casa,1200000,95.0,84,"$ 39,672.00",11.20%,Pagos Oportunos,13.6%,"$ 19,836.00",Mensual
10,Compra tu Casa,1300000,95.0,84,"$ 42,978.00",11.20%,Pagos Oportunos,13.6%,"$ 21,489.00",Mensual
11,Compra tu Casa,1400000,95.0,84,"$ 46,284.00",11.20%,Pagos Oportunos,13.6%,"$ 23,142.00",Mensual
12,Compra tu Casa,1500000,95.0,84,"$ 49,590.00",11.20%,Pagos Oportunos,13.6%,"$ 24,795.00",Mensual
13,Compra tu Casa,1600000,95.0,84,"$ 52,896.00",11.20%,Pagos Oportunos,13.6%,"$ 26,448.00",Mensual
14,Compra tu Casa,1700000,95.0,84,"$ 56,202.00",11.20%,Pagos Oportunos,13.6%,"$ 28,101.00",Mensual
15,Compra tu Casa,1800000,95.0,84,"$ 59,508.00",11.20%,Pagos Oportunos,13.6%,"$ 29,754.00",Mensual
16,Compra tu Casa,1900000,95.0,84,"$ 62,814.00",11.20%,Pagos Oportunos,13.5%,"$ 31,407.00",Mensual
17,Compra tu Casa,2000000,95.0,84,"$ 66,120.00",11.20%,Pagos Oportunos,13.5%,"$ 33,060.00",Mensual
18,Compra tu Casa,2500000,95.0,84,"$ 82,650.00",11.20%,Pagos Oportunos,13.6%,"$ 41,325.00",Mensual
19,Compra tu Casa,3000000,95.0,84,"$ 99,180.00",11.20%,Pagos Oportunos,13.6%,"$ 49,590.00",Mensual
20,Compra tu Casa,3500000,95.0,84,"$ 115,710.00",11.20%,Pagos Oportunos,13.6%,"$ 57,855.00",Mensual
21,Compra tu Casa,4000000,95.0,84,"$ 132,240.00",11.20%,Pagos Oportunos,13.6%,"$ 66,120.00",Mensual
22,Compra tu Casa,4500000,95.0,84,"$ 148,770.00",11.20%,Pagos Oportunos,13.6%,"$ 74,385.00",Mensual
23,Compra tu Casa,5000000,95.0,84,"$ 165,300.00",11.20%,Pagos Oportunos,13.6%,"$ 82,650.00",Mensual
24,Compra tu Casa,5500000,95.0,84,"$ 181,830.00",11.20%,Pagos Oportunos,13.6%,"$ 90,915.00",Mensual
25,Compra tu Casa,6000000,95.0,84,"$ 198,360.00",11.20%,Pagos Oportunos,13.6%,"$ 99,180.00",Mensual
26,Compra tu Casa,6500000,95.0,84,"$ 214,890.00",11.20%,Pagos Oportunos,13.6%,"$ 107,445.00",Mensual
27,Compra tu Casa,7000000,95.0,84,"$ 231,420.00",11.20%,Pagos Oportunos,13.6%,"$ 115,710.00",Mensual
28,Compra tu Casa,7500000,95.0,84,"$ 247,950.00",11.20%,Pagos Oportunos,13.6%,"$ 123,975.00",Mensual
29,Compra tu Casa,8000000,95.0,84,"$ 264,480.00",11.20%,Pagos Oportunos,13.5%,"$ 132,240.00",Mensual
30,Compra tu Casa,8500000,95.0,84,"$ 281,010.00",11.20%,Pagos Oportunos,13.6%,"$ 140,505.00",Mensual
