subprod_id,prod_id,valor_vivienda,aforo,plazo,ingresos_requeridos,tasa_interes,tipo_tasa_id,cat,cat_incluye_iva,monto_pago,avaluo,comision_por_apertura,gastos_notariales,desembolso_inicial
1,13,400000,95.0,84,13224.0,11.2,0,13.6,0,6612.0,1800.0,4750.0,8000.0,34550.0
2,13,500000,95.0,84,16530.0,11.2,0,13.6,0,8265.0,1800.0,5937.5,10000.0,42737.5
3,13,600000,95.0,84,19836.0,11.2,0,13.6,0,9918.0,2500.0,7125.0,12000.0,51625.0
4,13,700000,95.0,84,23142.0,11.2,0,13.6,0,11571.0,2500.0,8312.5,14000.0,59812.5
5,13,800000,95.0,84,26448.0,11.2,0,13.6,0,13224.0,2500.0,9500.0,16000.0,68000.0
6,13,900000,95.0,84,29754.0,11.2,0,13.6,0,14877.0,2500.0,10687.5,18000.0,76187.5
7,13,1000000,95.0,84,33060.0,11.2,0,13.6,0,16530.0,2500.0,11875.0,20000.0,84375.0
8,13,1100000,95.0,84,36366.0,11.2,0,13.6,0,18183.0,4000.0,13062.5,22000.0,94062.5
9,13,1200000,95.0,84,39672.0,11.2,0,13.6,0,19836.0,4000.0,14250.0,24000.0,102250.0
10,13,1300000,95.0,84,42978.0,11.2,0,13.6,0,21489.0,4000.0,15437.5,26000.0,110437.5
11,13,1400000,95.0,84,46284.0,11.2,0,13.6,0,23142.0,4000.0,16625.0,28000.0,118625.0
12,13,1500000,95.0,84,49590.0,11.2,0,13.6,0,24795.0,4000.0,17812.5,30000.0,126812.5
13,13,1600000,95.0,84,52896.0,11.2,0,13.6,0,26448.0,4000.0,19000.0,32000.0,135000.0
14,13,1700000,95.0,84,56202.0,11.2,0,13.6,0,28101.0,4000.0,20187.5,34000.0,143187.5
15,13,1800000,95.0,84,59508.0,11.2,0,13.6,0,29754.0,4000.0,21375.0,36000.0,151375.0
16,13,1900000,95.0,84,62814.0,11.2,0,13.5,0,31407.0,4000.0,22562.5,38000.0,159562.5
17,13,2000000,95.0,84,66120.0,11.2,0,13.5,0,33060.0,4000.0,23750.0,40000.0,167750.0
18,13,2500000,95.0,84,82650.0,11.2,0,13.6,0,41325.0,6700.0,29687.5,50000.0,211387.5
