Subproducto,"Institución",Producto,Moneda,"Valor Vivienda",Aforo,Plazo,"Ingresos Requeridos","Tasa de Interés","Tipo de Tasa",CAT,"CAT Incluye IVA",Pago,"Frecuencia de Pago",Avaluo,"Comisión por Apertura","Gastos Notariales","Desembolso Inicial"
1,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,400000,95.0,84,13224.0,11.2,Fija,13.6,0,6612.0,Mensual,1800.0,4750.0,8000.0,34550.0
2,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,500000,95.0,84,16530.0,11.2,Fija,13.6,0,8265.0,Mensual,1800.0,5937.5,10000.0,42737.5
3,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,600000,95.0,84,19836.0,11.2,Fija,13.6,0,9918.0,Mensual,2500.0,7125.0,12000.0,51625.0
4,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,700000,95.0,84,23142.0,11.2,Fija,13.6,0,11571.0,Mensual,2500.0,8312.5,14000.0,59812.5
5,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,800000,95.0,84,26448.0,11.2,Fija,13.6,0,13224.0,Mensual,2500.0,9500.0,16000.0,68000.0
6,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,900000,95.0,84,29754.0,11.2,Fija,13.6,0,14877.0,Mensual,2500.0,10687.5,18000.0,76187.5
7,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1000000,95.0,84,33060.0,11.2,Fija,13.6,0,16530.0,Mensual,2500.0,11875.0,20000.0,84375.0
8,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1100000,95.0,84,36366.0,11.2,Fija,13.6,0,18183.0,Mensual,4000.0,13062.5,22000.0,94062.5
9,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1200000,95.0,84,39672.0,11.2,Fija,13.6,0,19836.0,Mensual,4000.0,14250.0,24000.0,102250.0
10,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1300000,95.0,84,42978.0,11.2,Fija,13.6,0,21489.0,Mensual,4000.0,15437.5,26000.0,110437.5
11,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1400000,95.0,84,46284.0,11.2,Fija,13.6,0,23142.0,Mensual,4000.0,16625.0,28000.0,118625.0
12,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1500000,95.0,84,49590.0,11.2,Fija,13.6,0,24795.0,Mensual,4000.0,17812.5,30000.0,126812.5
13,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1600000,95.0,84,52896.0,11.2,Fija,13.6,0,26448.0,Mensual,4000.0,19000.0,32000.0,135000.0
14,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1700000,95.0,84,56202.0,11.2,Fija,13.6,0,28101.0,Mensual,4000.0,20187.5,34000.0,143187.5
15,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1800000,95.0,84,59508.0,11.2,Fija,13.6,0,29754.0,Mensual,4000.0,21375.0,36000.0,151375.0
16,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1900000,95.0,84,62814.0,11.2,Fija,13.5,0,31407.0,Mensual,4000.0,22562.5,38000.0,159562.5
17,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,2000000,95.0,84,66120.0,11.2,Fija,13.5,0,33060.0,Mensual,4000.0,23750.0,40000.0,167750.0
18,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,2500000,95.0,84,82650.0,11.2,Fija,13.6,0,41325.0,Mensual,6700.0,29687.5,50000.0,211387.5
19,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,3000000,95.0,84,99180.0,11.2,Fija,13.6,0,49590.0,Mensual,6700.0,35625.0,60000.0,252325.0
20,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,3500000,95.0,84,115710.0,11.2,Fija,13.6,0,57855.0,Mensual,9600.0,41562.5,70000.0,296162.5
21,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,4000000,95.0,84,132240.0,11.2,Fija,13.6,0,66120.0,Mensual,9600.0,47500.0,80000.0,337100.0
22,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,4500000,95.0,84,148770.0,11.2,Fija,13.6,0,74385.0,Mensual,12300.0,53437.5,90000.0,380737.5
23,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,5000000,95.0,84,165300.0,11.2,Fija,13.6,0,82650.0,Mensual,12300.0,59375.0,100000.0,421675.0
24,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,5500000,95.0,84,181830.0,11.2,Fija,13.6,0,90915.0,Mensual,17200.0,65312.5,110000.0,467512.5
25,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,6000000,95.0,84,198360.0,11.2,Fija,13.6,0,99180.0,Mensual,17200.0,71250.0,120000.0,508450.0
26,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,6500000,95.0,84,214890.0,11.2,Fija,13.6,0,107445.0,Mensual,17200.0,77187.5,130000.0,549387.5
27,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,7000000,95.0,84,231420.0,11.2,Fija,13.6,0,115710.0,Mensual,17200.0,83125.0,140000.0,590325.0
28,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,7500000,95.0,84,247950.0,11.2,Fija,13.6,0,123975.0,Mensual,17200.0,89062.5,150000.0,631262.5
29,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8000000,95.0,84,264480.0,11.2,Fija,13.5,0,132240.0,Mensual,17200.0,95000.0,160000.0,672200.0
30,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8500000,95.0,84,281010.0,11.2,Fija,13.6,0,140505.0,Mensual,19800.0,100937.5,170000.0,715737.5
31,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9000000,95.0,84,297540.0,11.2,Fija,13.6,0,148770.0,Mensual,19800.0,106875.0,180000.0,756675.0
32,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9500000,95.0,84,314070.0,11.2,Fija,13.5,0,157035.0,Mensual,19800.0,112812.5,190000.0,797612.5
33,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,10000000,95.0,84,330600.0,11.2,Fija,13.5,0,165300.0,Mensual,19800.0,118750.0,200000.0,838550.0
34,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,400000,95.0,120,10716.0,11.3,Fija,13.5,0,5358.0,Mensual,1800.0,4750.0,8000.0,34550.0
35,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,500000,95.0,120,13395.0,11.3,Fija,13.4,0,6697.5,Mensual,1800.0,5937.5,10000.0,42737.5
36,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,600000,95.0,120,16074.0,11.3,Fija,13.4,0,8037.0,Mensual,2500.0,7125.0,12000.0,51625.0
37,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,700000,95.0,120,18753.0,11.3,Fija,13.4,0,9376.5,Mensual,2500.0,8312.5,14000.0,59812.5
38,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,800000,95.0,120,21432.0,11.3,Fija,13.4,0,10716.0,Mensual,2500.0,9500.0,16000.0,68000.0
39,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,900000,95.0,120,24111.0,11.3,Fija,13.4,0,12055.5,Mensual,2500.0,10687.5,18000.0,76187.5
