Valor Vivienda,Monto,Plazo,AFORO,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago Mensual
500000.00,300000,120,60.0,15000.00,9.90,Fija,12.4,4217.93
500000.00,400000,120,80.0,15954.00,9.90,Fija,12.1,5583.90
588235.00,500000,120,85.0,19943.00,9.90,Fija,12.0,6979.88
705882.00,600000,120,85.0,23931.00,9.90,Fija,12.0,8375.86
823529.00,700000,120,85.0,27920.00,9.90,Fija,12.0,9771.83
941176.00,800000,120,85.0,31908.00,9.90,Fija,12.0,11167.81
1058824.00,900000,120,85.0,35897.00,9.90,Fija,12.0,12563.78
1176471.00,1000000,120,85.0,39885.00,9.90,Fija,12.0,13959.76
1294118.00,1100000,120,85.0,43874.00,9.90,Fija,12.0,15355.74
1411765.00,1200000,120,85.0,47862.00,9.90,Fija,12.0,16751.71
1529412.00,1300000,120,85.0,51851.00,9.90,Fija,12.0,18147.69
1647059.00,1400000,120,85.0,55839.00,9.90,Fija,11.9,19543.66
1764706.00,1500000,120,85.0,59828.00,9.90,Fija,11.9,20939.64
1882353.00,1600000,120,85.0,63816.00,9.90,Fija,11.9,22335.62
2000000.00,1700000,120,85.0,67805.00,9.90,Fija,11.9,23731.59
2117647.00,1800000,120,85.0,71793.00,9.90,Fija,11.9,25127.57
2235294.00,1900000,120,85.0,75782.00,9.90,Fija,11.9,26523.54
2352941.00,2000000,120,85.0,79770.00,9.90,Fija,11.9,27919.52
2470588.00,2100000,120,85.0,83759.00,9.90,Fija,11.9,29315.50
2588235.00,2200000,120,85.0,87747.00,9.90,Fija,11.9,30711.47
2705882.00,2300000,120,85.0,91736.00,9.90,Fija,11.9,32107.45
2823529.00,2400000,120,85.0,95724.00,9.90,Fija,11.9,33503.43
2941176.00,2500000,120,85.0,99713.00,9.90,Fija,11.9,34899.40
3058824.00,2600000,120,85.0,103701.00,9.90,Fija,11.9,36295.38
3176471.00,2700000,120,85.0,107690.00,9.90,Fija,11.9,37691.35
3294118.00,2800000,120,85.0,111678.00,9.90,Fija,11.9,39087.33
3411765.00,2900000,120,85.0,115667.00,9.90,Fija,11.9,40483.31
3529412.00,3000000,120,85.0,119655.00,9.90,Fija,11.9,41879.28
3647059.00,3100000,120,85.0,123644.00,9.90,Fija,11.9,43275.26
3764706.00,3200000,120,85.0,127632.00,9.90,Fija,11.9,44671.23
3882353.00,3300000,120,85.0,131621.00,9.90,Fija,11.9,46067.21
4000000.00,3400000,120,85.0,135609.00,9.90,Fija,11.9,47463.19
4117647.00,3500000,120,85.0,139598.00,9.90,Fija,11.9,48859.16
4235294.00,3600000,120,85.0,143586.00,9.90,Fija,11.9,50255.14
4352941.00,3700000,120,85.0,147575.00,9.90,Fija,11.9,51651.11
4470588.00,3800000,120,85.0,151563.00,9.90,Fija,11.9,53047.09
4588235.00,3900000,120,85.0,155552.00,9.90,Fija,11.9,54443.07
4705882.00,4000000,120,85.0,159540.00,9.90,Fija,11.9,55839.04
4823529.00,4100000,120,85.0,163529.00,9.90,Fija,11.9,57235.02
4941176.00,4200000,120,85.0,167517.00,9.90,Fija,11.9,58630.99
5058824.00,4300000,120,85.0,171506.00,9.90,Fija,11.9,60026.97
5176471.00,4400000,120,85.0,175494.00,9.90,Fija,11.9,61422.95
5294118.00,4500000,120,85.0,179483.00,9.90,Fija,11.9,62818.92
5411765.00,4600000,120,85.0,183471.00,9.90,Fija,11.9,64214.90
5529412.00,4700000,120,85.0,187460.00,9.90,Fija,11.9,65610.87
5647059.00,4800000,120,85.0,191448.00,9.90,Fija,11.9,67006.85
5764706.00,4900000,120,85.0,195437.00,9.90,Fija,11.9,68402.83
5882353.00,5000000,120,85.0,199425.00,9.90,Fija,11.9,69798.80
7846154.00,5100000,120,65.0,204422.00,9.90,Fija,12.1,71547.86
8000000.00,5200000,120,65.0,208431.00,9.90,Fija,12.1,72950.75
8153846.00,5300000,120,65.0,212439.00,9.90,Fija,12.1,74353.65
8307692.00,5400000,120,65.0,216447.00,9.90,Fija,12.1,75756.55
8461538.00,5500000,120,65.0,220456.00,9.90,Fija,12.1,77159.45
8615385.00,5600000,120,65.0,224464.00,9.90,Fija,12.1,78562.35
8769231.00,5700000,120,65.0,228472.00,9.90,Fija,12.1,79965.25
8923077.00,5800000,120,65.0,232480.00,9.90,Fija,12.1,81368.15
9076923.00,5900000,120,65.0,236489.00,9.90,Fija,12.1,82771.05
9230769.00,6000000,120,65.0,240497.00,9.90,Fija,12.1,84173.95
9384615.00,6100000,120,65.0,244505.00,9.90,Fija,12.1,85576.85
9538462.00,6200000,120,65.0,248514.00,9.90,Fija,12.1,86979.75
9692308.00,6300000,120,65.0,252522.00,9.90,Fija,12.1,88382.64
9846154.00,6400000,120,65.0,256530.00,9.90,Fija,12.1,89785.54
10000000.00,6500000,120,65.0,260538.00,9.90,Fija,12.1,91188.44
10153846.00,6600000,120,65.0,264547.00,9.90,Fija,12.1,92591.34
10307692.00,6700000,120,65.0,268555.00,9.90,Fija,12.1,93994.24
10461538.00,6800000,120,65.0,272563.00,9.90,Fija,12.1,95397.14
10615385.00,6900000,120,65.0,276572.00,9.90,Fija,12.1,96800.04
10769231.00,7000000,120,65.0,280580.00,9.90,Fija,12.1,98202.94
10923077.00,7100000,120,65.0,284588.00,9.90,Fija,12.1,99605.84
11076923.00,7200000,120,65.0,288596.00,9.90,Fija,12.1,101008.74
11230769.00,7300000,120,65.0,292605.00,9.90,Fija,12.1,102411.64
11384615.00,7400000,120,65.0,296613.00,9.90,Fija,12.1,103814.53
11538462.00,7500000,120,65.0,300621.00,9.90,Fija,12.1,105217.43
11692308.00,7600000,120,65.0,304630.00,9.90,Fija,12.1,106620.33
11846154.00,7700000,120,65.0,308638.00,9.90,Fija,12.1,108023.23
12000000.00,7800000,120,65.0,312646.00,9.90,Fija,12.1,109426.13
12153846.00,7900000,120,65.0,316654.00,9.90,Fija,12.1,110829.03
12307692.00,8000000,120,65.0,320663.00,9.90,Fija,12.1,112231.93
12461538.00,8100000,120,65.0,324671.00,9.90,Fija,12.1,113634.83
12615385.00,8200000,120,65.0,328679.00,9.90,Fija,12.1,115037.73
12769231.00,8300000,120,65.0,332688.00,9.90,Fija,12.1,116440.63
12923077.00,8400000,120,65.0,336696.00,9.90,Fija,12.1,117843.53
13076923.00,8500000,120,65.0,340704.00,9.90,Fija,12.1,119246.43
13230769.00,8600000,120,65.0,344712.00,9.90,Fija,12.1,120649.32
13384615.00,8700000,120,65.0,348721.00,9.90,Fija,12.1,122052.22
13538462.00,8800000,120,65.0,352729.00,9.90,Fija,12.1,123455.12
13692308.00,8900000,120,65.0,356737.00,9.90,Fija,12.1,124858.02
13846154.00,9000000,120,65.0,360745.00,9.90,Fija,12.1,126260.92
14000000.00,9100000,120,65.0,364754.00,9.90,Fija,12.1,127663.82
14153846.00,9200000,120,65.0,368762.00,9.90,Fija,12.1,129066.72
14307692.00,9300000,120,65.0,372770.00,9.90,Fija,12.1,130469.62
14461538.00,9400000,120,65.0,376779.00,9.90,Fija,12.1,131872.52
14615385.00,9500000,120,65.0,380787.00,9.90,Fija,12.1,133275.42
14769231.00,9600000,120,65.0,384795.00,9.90,Fija,12.1,134678.32
14923077.00,9700000,120,65.0,388803.00,9.90,Fija,12.1,136081.21
15076923.00,9800000,120,65.0,392812.00,9.90,Fija,12.0,137484.11
15230769.00,9900000,120,65.0,396820.00,9.90,Fija,12.0,138887.01
15384615.00,10000000,120,65.0,400828.00,9.90,Fija,12.0,140289.91
500000.00,300000,120,60.0,15000.00,9.90,Fija,12.4,4217.93
533333.00,400000,120,75.0,15977.00,9.90,Fija,12.1,5591.90
666667.00,500000,120,75.0,19971.00,9.90,Fija,12.1,6989.88
800000.00,600000,120,75.0,23965.00,9.90,Fija,12.1,8387.86
933333.00,700000,120,75.0,27960.00,9.90,Fija,12.0,9785.83
1066667.00,800000,120,75.0,31954.00,9.90,Fija,12.1,11183.81
1200000.00,900000,120,75.0,35948.00,9.90,Fija,12.1,12581.78
1333333.00,1000000,120,75.0,39942.00,9.90,Fija,12.1,13979.76
1466667.00,1100000,120,75.0,43936.00,9.90,Fija,12.0,15377.74
1600000.00,1200000,120,75.0,47931.00,9.90,Fija,12.0,16775.71
1733333.00,1300000,120,75.0,51925.00,9.90,Fija,12.0,18173.69
1866667.00,1400000,120,75.0,55919.00,9.90,Fija,12.0,19571.66
2000000.00,1500000,120,75.0,59913.00,9.90,Fija,12.0,20969.64
2133333.00,1600000,120,75.0,63907.00,9.90,Fija,12.0,22367.62
2266667.00,1700000,120,75.0,67902.00,9.90,Fija,12.0,23765.59
2400000.00,1800000,120,75.0,71896.00,9.90,Fija,12.0,25163.57
2533333.00,1900000,120,75.0,75890.00,9.90,Fija,12.0,26561.54
2666667.00,2000000,120,75.0,79884.00,9.90,Fija,12.0,27959.52
2800000.00,2100000,120,75.0,83879.00,9.90,Fija,12.0,29357.50
2933333.00,2200000,120,75.0,87873.00,9.90,Fija,12.0,30755.47
3066667.00,2300000,120,75.0,91867.00,9.90,Fija,12.0,32153.45
3200000.00,2400000,120,75.0,95861.00,9.90,Fija,12.0,33551.43
3333333.00,2500000,120,75.0,99855.00,9.90,Fija,12.0,34949.40
3466667.00,2600000,120,75.0,103850.00,9.90,Fija,12.0,36347.38
3600000.00,2700000,120,75.0,107844.00,9.90,Fija,12.0,37745.35
3733333.00,2800000,120,75.0,111838.00,9.90,Fija,12.0,39143.33
3866667.00,2900000,120,75.0,115832.00,9.90,Fija,12.0,40541.31
4000000.00,3000000,120,75.0,119827.00,9.90,Fija,12.0,41939.28
4133333.00,3100000,120,75.0,123821.00,9.90,Fija,12.0,43337.26
4266667.00,3200000,120,75.0,127815.00,9.90,Fija,12.0,44735.23
4400000.00,3300000,120,75.0,131809.00,9.90,Fija,12.0,46133.21
4533333.00,3400000,120,75.0,135803.00,9.90,Fija,12.0,47531.19
4666667.00,3500000,120,75.0,139798.00,9.90,Fija,12.0,48929.16
4800000.00,3600000,120,75.0,143792.00,9.90,Fija,12.0,50327.14
4933333.00,3700000,120,75.0,147786.00,9.90,Fija,12.0,51725.11
5066667.00,3800000,120,75.0,151780.00,9.90,Fija,12.0,53123.09
5200000.00,3900000,120,75.0,155774.00,9.90,Fija,12.0,54521.07
5333333.00,4000000,120,75.0,159769.00,9.90,Fija,12.0,55919.04
5466667.00,4100000,120,75.0,163763.00,9.90,Fija,12.0,57317.02
5600000.00,4200000,120,75.0,167757.00,9.90,Fija,12.0,58714.99
5733333.00,4300000,120,75.0,171751.00,9.90,Fija,12.0,60112.97
5866667.00,4400000,120,75.0,175746.00,9.90,Fija,12.0,61510.95
6923077.00,4500000,120,65.0,180373.00,9.90,Fija,12.1,63130.46
7076923.00,4600000,120,65.0,184381.00,9.90,Fija,12.1,64533.36
7230769.00,4700000,120,65.0,188389.00,9.90,Fija,12.1,65936.26
7384615.00,4800000,120,65.0,192398.00,9.90,Fija,12.1,67339.16
7538462.00,4900000,120,65.0,196406.00,9.90,Fija,12.1,68742.06
7692308.00,5000000,120,65.0,200414.00,9.90,Fija,12.1,70144.96
7846154.00,5100000,120,65.0,204422.00,9.90,Fija,12.1,71547.86
8000000.00,5200000,120,65.0,208431.00,9.90,Fija,12.1,72950.75
8153846.00,5300000,120,65.0,212439.00,9.90,Fija,12.1,74353.65
8307692.00,5400000,120,65.0,216447.00,9.90,Fija,12.1,75756.55
8461538.00,5500000,120,65.0,220456.00,9.90,Fija,12.1,77159.45
8615385.00,5600000,120,65.0,224464.00,9.90,Fija,12.1,78562.35
8769231.00,5700000,120,65.0,228472.00,9.90,Fija,12.1,79965.25
8923077.00,5800000,120,65.0,232480.00,9.90,Fija,12.1,81368.15
9076923.00,5900000,120,65.0,236489.00,9.90,Fija,12.1,82771.05
9230769.00,6000000,120,65.0,240497.00,9.90,Fija,12.1,84173.95
9384615.00,6100000,120,65.0,244505.00,9.90,Fija,12.1,85576.85
9538462.00,6200000,120,65.0,248514.00,9.90,Fija,12.1,86979.75
9692308.00,6300000,120,65.0,252522.00,9.90,Fija,12.1,88382.64
9846154.00,6400000,120,65.0,256530.00,9.90,Fija,12.1,89785.54
